iter	Passed	Remaining
0	1	126
1	2	128
2	3	121
3	4	114
4	5	110
5	6	106
6	7	104
7	8	102
8	9	100
9	10	98
10	11	96
11	13	96
12	14	95
13	15	93
14	16	92
15	17	90
16	18	89
17	19	87
18	20	87
19	21	85
20	22	84
21	23	83
22	24	81
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	38	67
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	55
47	49	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	31
69	72	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
