iter	Passed	Remaining
0	145	144861
1	146	72915
2	147	48930
3	148	36911
4	149	29697
5	150	24873
6	151	21448
7	152	18890
8	153	16904
9	154	15298
10	155	13978
11	156	12879
12	157	11954
13	158	11187
14	160	10512
15	161	9912
16	162	9370
17	162	8892
18	163	8464
19	165	8099
20	166	7765
21	167	7456
22	168	7170
23	169	6909
24	171	6670
25	172	6456
26	173	6252
27	174	6061
28	175	5877
29	176	5706
30	177	5546
31	178	5397
32	179	5267
33	180	5140
34	182	5028
35	183	4912
36	184	4802
37	185	4700
38	186	4604
39	187	4511
40	188	4420
41	190	4334
42	191	4251
43	191	4170
44	193	4097
45	194	4025
46	195	3960
47	196	3893
48	197	3830
49	198	3768
50	199	3710
51	200	3656
52	201	3603
53	202	3552
54	203	3500
55	204	3450
56	205	3400
57	206	3354
58	207	3315
59	208	3274
60	210	3233
61	211	3193
62	212	3154
63	213	3117
64	214	3080
65	215	3043
66	216	3008
67	216	2973
68	217	2939
69	218	2905
70	219	2875
71	220	2845
72	221	2817
73	223	2791
74	224	2763
75	225	2736
76	226	2710
77	226	2682
78	227	2657
79	228	2631
80	229	2606
81	230	2582
82	231	2554
83	232	2532
84	233	2510
85	234	2489
86	235	2468
87	236	2449
88	237	2432
89	238	2415
90	239	2396
91	240	2378
92	242	2361
93	243	2344
94	244	2330
95	245	2314
96	246	2297
97	247	2280
98	248	2262
99	249	2246
100	251	2234
101	252	2219
102	253	2203
103	254	2189
104	255	2176
105	256	2162
106	257	2149
107	258	2134
108	259	2120
109	260	2106
110	261	2093
111	262	2083
112	263	2070
113	264	2059
114	266	2047
115	267	2038
116	268	2025
117	269	2013
118	270	2001
119	271	1988
120	272	1976
121	272	1964
122	273	1953
123	274	1942
124	275	1930
125	276	1919
126	277	1907
127	278	1896
128	279	1887
129	280	1879
130	282	1871
131	283	1862
132	284	1852
133	285	1843
134	286	1834
135	287	1827
136	289	1820
137	290	1812
138	291	1802
139	292	1794
140	293	1787
141	294	1777
142	295	1770
143	296	1764
144	297	1756
145	298	1748
146	300	1741
147	301	1732
148	302	1725
149	303	1718
150	304	1710
151	305	1703
152	306	1695
153	307	1687
154	308	1679
155	309	1672
156	310	1666
157	311	1660
158	312	1654
159	313	1647
160	314	1639
161	315	1633
162	317	1628
163	318	1622
164	319	1615
165	320	1609
166	321	1601
167	322	1596
168	323	1591
169	325	1587
170	326	1581
171	327	1575
172	328	1569
173	329	1564
174	330	1558
175	331	1554
176	332	1548
177	334	1542
178	335	1537
179	336	1531
180	337	1526
181	338	1521
182	339	1517
183	341	1512
184	342	1507
185	343	1502
186	344	1496
187	345	1491
188	346	1487
189	347	1482
190	348	1477
191	349	1472
192	350	1466
193	351	1462
194	353	1459
195	354	1453
196	355	1448
197	356	1443
198	357	1438
199	358	1433
200	359	1428
201	360	1423
